Date,TT,ST,CiT,AT,FT,IT
2012-05,1230.989537,542.7703883,42.35860238,4.33632382,76.27936106,435.3518767
2012-06,1581.661946,581.2751998,37.03666109,3.83330252,77.60795131,583.3891696
2012-07,1349.954528,570.063026,43.43408844,4.42972011,79.77750909,516.7062458
2012-08,1190.216459,561.1966197,40.38110893,1.48409473,75.25589952,436.8672412
2012-09,1646.074878,574.2793598,37.7496044,6.73106719,76.66794146,655.8590445
2012-10,1319.972116,554.9144751,40.98428164,3.13344128,72.68998782,480.3659489
2012-11,1188.839233,543.8936947,39.13867864,4.91947983,78.09431537,443.6009461
2012-12,1464.181321,550.854783,38.21947275,3.97602051,71.45755289,536.3122316
2013-01,1631.554893,638.0558386,36.66299284,4.28815527,71.88019767,752.2081462
2013-02,928.5160212,527.3823192,30.4921407,2.64713181,78.33295377,285.963936
2013-03,1166.046433,521.124601,35.32740241,2.69930412,72.0204524,388.0792665
2013-04,2179.100064,587.3491833,39.83957644,3.38350259,88.77877652,1124.409945
2013-05,1276.723962,571.9010734,41.67617257,3.85960285,76.97511659,454.8864533
2013-06,1632.597284,600.721466,37.731284,3.696438,76.037653,635.568553
2013-07,1316.29155,587.029107,43.591619,4.690877,78.211795,467.986489
2013-08,1220.284362,579.480259,39.364404,3.850458,76.09459,457.900173
2013-09,1698.090677,593.993781,42.050682,3.60053,71.559915,692.933305
2013-10,1323.57159,570.811353,38.453206,4.480845,80.1751,486.271803
2013-11,1191.097127,544.664075,33.569408,3.066153,83.744711,456.042886
2013-12,1542.095688,585.475744,42.804333,5.008907,72.627175,581.786622
2014-01,1617.670127,652.770532,37.732598,4.765362,77.816887,764.979807
2014-02,970.386478,514.678698,27.183943,2.7182,73.413346,283.439868
2014-03,1314.594941,529.705576,33.797437,2.871206,79.92924,495.526367
2014-04,2072.761377,611.803056,36.055358,3.399058,85.525458,1007.178054
2014-05,1290.362248,599.697992,34.441899,3.649885,75.792973,454.903519
